type,actual,prediction,weight,Breast,Colorectum,Upper GI,Liver,Lung,Ovary,Pancreas
NOM:,2,2,1,7.15E-07,0.004210485,0.991947824,0.003840947,2.34E-08,2.33E-09,3.57E-09
NOM:,2,4,1,0.007225008,2.23E-04,4.07E-04,4.13E-04,0.991431034,5.08E-06,2.96E-04
NOM:,2,2,1,0.00134618,0.062797075,0.932182911,0.003429576,2.44E-04,1.23E-07,4.84E-07
NOM:,2,2,1,6.57E-04,0.075823626,0.462622222,0.436502576,0.021719988,1.32E-05,0.002661158
NOM:,2,2,1,5.28E-04,0.003674349,0.981365577,0.01360298,8.27E-04,2.43E-08,1.97E-06
NOM:,2,2,1,2.68E-06,0.270173585,0.656766554,0.073056546,5.88E-07,2.08E-08,2.35E-08
NOM:,2,2,1,2.19E-04,0.238524209,0.758434033,0.002814609,8.08E-06,1.47E-07,1.79E-07
NOM:,2,2,1,1.90E-07,1.84E-04,0.999006667,8.09E-04,2.59E-07,3.37E-10,9.42E-09
NOM:,2,2,1,1.01E-04,0.001666958,0.943922681,0.053253854,5.53E-05,6.19E-08,1.00E-03
NOM:,2,2,1,1.13E-04,0.148604308,0.851092227,1.85E-04,8.98E-07,2.69E-06,9.50E-07
NOM:,2,3,1,6.89E-06,0.005159663,0.062155292,0.922852936,8.86E-07,3.46E-08,0.009824297
NOM:,2,4,1,0.001020649,0.080650127,0.022262233,0.005518264,0.890515746,3.02E-05,2.74E-06
NOM:,2,2,1,5.76E-08,0.014939711,0.983727957,0.001332266,3.41E-09,3.74E-10,3.89E-09
NOM:,2,2,1,1.83E-07,0.008451023,0.991025635,5.23E-04,1.31E-08,2.80E-09,3.18E-08
NOM:,2,2,1,2.39E-05,0.119480148,0.73756236,0.089561734,0.048791214,1.50E-05,0.004565646
NOM:,2,2,1,5.52E-08,0.009321509,0.972974932,0.017703438,1.49E-08,3.71E-09,4.68E-08
NOM:,2,2,1,5.85E-04,0.014701706,0.936072778,0.006994771,0.041530254,1.23E-05,1.03E-04
NOM:,2,2,1,2.54E-07,0.001822348,0.971119709,0.027057674,5.79E-09,3.16E-10,9.45E-09
NOM:,2,2,1,8.83E-06,0.00158519,0.957189865,0.040693775,5.21E-04,9.63E-08,8.99E-07
NOM:,2,2,1,6.04E-04,0.001610327,0.989357354,0.001393427,0.006453846,5.32E-04,4.91E-05
NOM:,2,2,1,5.49E-08,0.001705956,0.997228846,0.001064994,9.18E-08,2.71E-09,5.41E-08
NOM:,2,2,1,1.61E-04,0.072320534,0.915012099,0.01250451,1.19E-06,1.06E-08,1.67E-07
NOM:,2,2,1,6.71E-06,2.89E-04,0.999644773,3.30E-05,1.04E-05,2.55E-07,1.60E-05
NOM:,2,2,1,1.31E-04,0.020184915,0.964040454,0.015572499,6.94E-05,2.51E-08,1.45E-06
NOM:,2,2,1,1.37E-05,0.009360446,0.978119435,0.012504487,3.81E-07,7.92E-09,1.52E-06
NOM:,2,2,1,4.79E-08,0.021141404,0.978777699,8.07E-05,7.61E-08,2.03E-08,4.68E-08
NOM:,3,3,1,1.78E-06,0.002121782,9.97E-04,0.996866161,4.11E-08,3.82E-08,1.36E-05
NOM:,3,3,1,3.80E-07,2.89E-06,2.03E-05,0.999915353,1.01E-06,3.42E-08,6.00E-05
NOM:,3,1,1,2.10E-04,0.602636166,0.022127209,0.368931477,0.005451465,3.83E-05,6.06E-04
NOM:,3,3,1,2.38E-04,3.53E-04,0.007744131,0.953820293,0.03780296,7.42E-06,3.40E-05
NOM:,3,3,1,1.34E-07,2.01E-05,4.00E-04,0.999579292,1.05E-08,5.57E-09,4.66E-07
NOM:,3,3,1,3.56E-08,2.63E-05,0.00801175,0.991961778,2.88E-08,1.27E-09,6.50E-08
NOM:,3,3,1,8.46E-04,0.002621569,0.209799613,0.568019698,2.18E-06,1.78E-06,0.218709514
NOM:,3,3,1,6.03E-09,2.90E-06,1.68E-05,0.999979364,1.07E-09,1.05E-09,9.02E-07
NOM:,3,3,1,8.93E-07,1.85E-04,0.006930181,0.992842871,3.81E-05,7.99E-09,2.97E-06
NOM:,3,3,1,2.37E-05,0.024691731,0.125890542,0.84938341,5.12E-06,1.30E-08,5.44E-06
NOM:,3,3,1,3.32E-06,0.004033274,0.067078649,0.923219433,0.005665018,2.16E-07,9.49E-08
NOM:,3,3,1,5.40E-05,4.34E-04,0.178095956,0.680224724,2.87E-07,5.34E-08,0.141190942
NOM:,3,3,1,1.44E-05,0.002256054,0.060146955,0.937566482,1.60E-05,1.60E-09,1.05E-07
NOM:,3,3,1,3.87E-06,0.002366259,0.004904446,0.992644588,2.35E-07,9.25E-09,8.06E-05
NOM:,3,3,1,3.27E-04,0.036429369,0.01154229,0.880808702,0.07087399,1.59E-05,3.13E-06
NOM:,3,3,1,0.001499397,0.014515006,7.03E-04,0.848215706,0.132337939,1.71E-05,0.002712141
NOM:,3,3,1,2.90E-05,3.91E-04,0.003728149,0.995438337,2.07E-06,1.52E-06,4.10E-04
NOM:,3,3,1,7.84E-04,0.006224553,0.001317038,0.917902707,0.073736385,6.73E-06,2.90E-05
NOM:,3,3,1,6.42E-04,9.19E-04,4.33E-05,0.880397043,0.006453665,6.22E-07,0.111543936
NOM:,3,3,1,2.81E-07,1.03E-04,0.030186037,0.969705001,2.35E-06,4.09E-08,2.86E-06
NOM:,3,3,1,2.89E-06,5.11E-05,0.005643051,0.994281607,2.10E-05,8.49E-08,2.46E-07
NOM:,3,3,1,1.40E-07,2.61E-05,0.001689885,0.998010633,2.73E-04,2.11E-08,1.39E-08
NOM:,3,3,1,1.57E-05,0.032703061,0.226852083,0.740095283,3.11E-04,1.32E-06,2.18E-05
