Cancer,seekactual,EMC,CancerSEEK,A1DE,nb,svm,knn,j48,RF,dntb,Fuzzy,Adaboost,DEEPL,EMCfea,,,,EMCc,Seek,a1dec,nb,svm,knn,j48,RF,dntb,fuzzy,adaboost,DeepLearing,EMCpfea
0,1,0,0.159,0,0,0,0,0,0,0,0,0.024,0.136,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.141,0,0,0,0,0.1,0.01,0,0,0.084,0.117,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.158,0,0,0,0,0.042,0.02,0,0,0.024,0.214,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0.053,0.469,0.005,0,0,0,0,0.36,0.051,1,0.481,0.322,0,,,,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,0.54,0.428,0.606,0,0,1,0.211,0.68,0.77,1,0.83,0.38,0,,,,1,1,1,0,0,1,0,1,1,1,1,0,0
0,1,0,0.873,0,0.002,1,1,0,0.61,0.009,1,0.83,0.838,0,,,,0,1,0,0,1,1,0,1,0,1,1,1,0
0,1,0,0.15,0,0,0,0,0.042,0,0,0,0.069,0.202,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.116,0,0,0,0,0,0,0,0,0.024,0.19,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.073,0.042,0,0,0,0.129,0.11,0.019,0,0.325,0.118,0.112,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0.001,0.246,0.003,0,0,0.5,0.057,0.19,0.007,0,0.115,0.217,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0.109,0.003,0,0,0,0.1,0.01,0.001,0,0.084,0.169,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.163,0,0,0,0,0.1,0.02,0,0,0.084,0.129,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.487,0,0.791,0,1,0,0.35,0,0,0.326,0.736,0,,,,0,1,0,1,0,1,0,0,0,0,0,1,0
0,1,0.258,0.143,0.013,0,0,0,0.129,0.09,0.013,0,0.325,0.168,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.052,0,0,0,0,0.074,0.01,0,0,0.069,0.159,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0.409,0.488,0.288,0,0,0.5,0.211,0.72,0.384,1,0.83,0.441,0,,,,0,1,0,0,0,1,0,1,0,1,1,0,0
0,1,0.004,0.057,0.003,0,0,0,1,0.1,0.001,0,0.325,0.089,0.354,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0.138,0,0,0,0,0.042,0,0,0,0.069,0.134,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.226,0,0,0,0,1,0.35,0,0,0.325,0.169,0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0.085,0.28,0.002,0,0,0,0.889,0.28,0.015,0,0.325,0.27,0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0.065,0,0,0,0,0.074,0.04,0,0,0.024,0.183,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.158,0,0,0,0,0.1,0.02,0,0,0.084,0.154,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.242,0.011,0,0,0,0.1,0.04,0.002,0,0.084,0.19,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.184,0.001,0,0,0,0,0.04,0.001,0,0.326,0.231,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.119,0,0,0,0,0.057,0.06,0,0,0.115,0.182,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.268,0,0,0,0.5,0.057,0.04,0,0,0.024,0.185,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0.082,0,0,0,0,0.1,0.03,0,0,0.084,0.105,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.22,0,0,0,0.5,0,0.51,0,0,0.481,0.272,0,,,,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0.015,0.179,0,0,0,0.5,0.1,0.07,0.001,0,0.084,0.22,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0.177,0,0,0,0,0.042,0.04,0,0,0.084,0.242,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.774,0,0,1,0.5,0,0.32,0.001,1,0.568,0.729,0,,,,0,1,0,0,1,1,0,0,0,1,1,1,0
0,1,0,0.212,0,0,0,0,0.042,0.03,0,0,0.084,0.203,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0.001,0.128,0,0,0,0,0.25,0.12,0.002,0,0.325,0.166,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
